# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_ef1fd0349c_model
# start_datetime = 2023-06-16 14:48:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpvCZr3y/standata-ef14a55ddf.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpvCZr3y/model_ca8dcd9b4d713097e042797eb154c030-202306161148-1-74405c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpvCZr3y/model_ca8dcd9b4d713097e042797eb154c030-profile-202306161148-1-138e44.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,zs_11_1.1,zs_11_1.2,zs_11_1.3,zs_11_1.4,zs_11_1.5,zs_11_1.6,zs_11_1.7,zs_11_1.8,sds_11.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,s_11_1.1,s_11_1.2,s_11_1.3,s_11_1.4,s_11_1.5,s_11_1.6,s_11_1.7,s_11_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.00807792
# Diagonal elements of inverse mass matrix:
# 0.0936119, 2.01447, 0.181097, 0.0445905, 0.00259372, 0.0019342, 0.00636098, 0.0780027, 0.0376476, 0.359194, 0.0642452, 0.0923443, 0.00896456, 0.109808, 0.16301, 0.0662581, 0.141208, 0.0926999, 0.137349, 0.0847034, 0.0518643, 0.00949586, 0.104332, 0.178953, 0.0476998, 0.0758104, 0.0609631, 0.0623014, 0.0645656, 0.0752058, 0.0118313, 0.0958578, 0.191523, 0.0519092, 0.090567, 0.0523999, 0.0655478, 0.0834578, 0.259564, 0.220354, 0.485674, 0.302325, 0.742986, 0.588618, 0.732083, 0.699821, 0.655397, 0.489481, 0.401215, 0.558809, 0.551521, 0.791561, 0.667534, 0.919396, 0.815077, 0.563756, 0.665125, 0.599744, 0.782572, 0.869958, 0.806714, 0.732533, 0.971029, 0.710083, 1.00242, 0.0547526, 0.0228429, 0.159298, 0.118844, 0.240407, 0.179907, 0.284447, 0.333826, 0.13342, 0.628049, 0.642264, 0.664209, 0.71982, 0.785719, 0.787463, 0.987247, 0.896259, 1.01395, 0.225949, 0.255534, 0.289079, 0.391909, 0.672222, 0.465787, 0.623515, 0.60469, 0.398093, 0.184257, 0.0717892, 0.107012, 0.00662769, 0.114922, 0.0940147, 0.122851, 0.118895, 0.0827604, 0.00221192, 0.0307644, 0.0594019, 0.126144, 0.154155, 0.164965, 0.229462, 0.108033, 0.10941, 0.198893, 0.108246, 0.107173
-451.034,0.833118,0.00807792,9,511,0,501.499,0.0872636,-6.50965,-0.493542,0.62416,-0.0854963,0.124482,-0.178259,0.709309,-0.497152,-1.72486,21.0348,1.14324,-0.159365,-0.908675,-1.54007,0.201073,-1.38441,0.156127,1.1723,0.697186,1.11951,-0.153351,-1.82345,-2.49736,0.606551,-1.51249,0.930916,0.811125,0.548902,1.00192,-0.156673,-0.982887,-1.36244,0.261251,-0.817909,0.35127,0.308465,0.85867,0.262146,0.275945,0.0107173,0.723811,-0.951654,0.730489,-0.737711,-1.01292,0.507504,0.00604923,1.38934,0.746956,0.491524,-0.804521,0.991348,0.609099,-0.599531,0.135629,-0.170882,1.50884,1.69815,2.03047,-1.2649,1.07609,0.239865,-0.154697,0.101016,-0.116998,-0.100323,0.810675,0.439978,0.764144,-0.212551,1.14164,-0.938879,1.10528,-0.431194,-0.865227,0.293343,-0.74432,0.14108,0.403354,-0.299654,-0.707028,0.0222493,-0.182628,0.0747119,-0.00209081,-0.307092,0.0941941,0.0587123,0.995229,-0.926504,0.0377845,-1.77685,0.839372,1.13288,-0.0487084,-0.804695,0.988287,-0.599986,-0.0663206,0.0998857,0.170988,2.01314,1.5758,-0.373564,0.49591,0.554202,-0.829286,0.0902796,0.106619,-0.766208,0.0872997,0.0614423,-10.3816,13.1291,-1.7984,2.61845,-3.74964,14.9202,-10.4575,-36.2821,0.797053,-0.111107,-0.633515,-1.07371,0.140185,-0.96519,0.10885,0.817313,0.614503,-0.0841746,-1.00089,-1.37081,0.332937,-0.830206,0.510981,0.445228,0.860317,-0.13453,-0.843975,-1.16989,0.224329,-0.702314,0.301625,0.26487,0.13304,0.140043,0.0054391,0.367337,-0.482969,0.370726,-0.374392,-0.514063,0.00082045,0.188434,0.101309,0.0666648,-0.109116,0.134455,0.0826113,-0.0813136,-0.0172618,0.152417,0.17154,0.20511,-0.127775,0.108702,0.0242302,-0.0156268,-0.129316,-0.110885,0.896026,0.486301,0.844596,-0.23493,1.26183,-1.03773,-0.00959377,-0.0192507,0.00652669,-0.0165606,0.00313893,0.00897435,-0.0066671,-0.0157309,-0.00690051,0.00282295,-7.90002e-05,-0.0116033,0.00355907,0.00221841,0.0376042,-0.0350075,-0.177482,0.0838413,0.113159,-0.00486528,-0.0803776,0.0987158,-0.05993,-0.00662448,-0.588662,0.781455,0.873312,-1.30679,0.142263,0.16801,-1.20739,0.137567,0.0968208,-29.0116,0.0872636
-442.418,0.998458,0.00807792,9,511,0,493.238,-0.113737,-3.44636,-1.31982,0.889697,-0.130055,0.150399,-0.262135,1.23299,-0.668547,-2.46428,11.2647,0.948089,-0.0304342,-0.84098,-1.20842,-0.0183093,-0.853906,0.0990763,1.6271,0.896984,0.729937,-0.128149,-1.23895,-1.572,0.639024,-1.08283,0.707844,0.982288,0.812708,0.921175,-0.179855,-0.919775,-1.60623,0.750795,-0.893412,0.418546,0.990512,0.870741,0.116336,0.127911,1.0544,0.852842,0.75515,0.0975823,0.253343,-1.26496,0.342173,-0.692381,1.15848,0.856317,0.485263,0.492605,0.815224,1.16167,1.60161,0.225739,-0.886495,0.875688,1.74479,0.48064,0.441849,0.39877,1.21646,-0.16797,0.231952,0.300009,0.306659,1.43854,1.84983,-0.577155,0.551813,1.177,-1.64516,0.371818,-0.228099,1.27277,-0.285621,1.07675,0.29249,-0.295589,0.386031,0.889605,0.0205897,0.588689,-1.15532,0.312679,-0.299751,1.32351,-0.505983,-0.00713033,1.0136,0.0276228,-0.930546,0.650584,0.763942,0.152102,-0.645546,0.849978,-0.741264,0.0567475,0.151936,0.165576,1.87353,1.77428,-0.220029,0.560101,0.595855,-0.640794,0.201901,0.221164,-0.523005,0.21232,0.19065,-14.8673,10.0222,-1.46503,1.6942,-2.95287,13.8892,-7.53097,-27.7594,0.85042,-0.027299,-0.754345,-1.08393,-0.0164231,-0.76594,0.0888698,1.45949,0.593226,-0.104148,-1.00691,-1.27758,0.51934,-0.880025,0.575271,0.798314,0.802104,-0.156607,-0.800885,-1.39861,0.653747,-0.77793,0.364445,0.862479,0.0398072,0.0437676,0.360789,0.291819,0.258392,0.03339,0.086687,-0.432834,-0.156298,0.261515,0.193304,0.109543,0.1112,0.184028,0.262234,0.361546,-0.205624,0.203117,0.404706,0.111485,0.102487,0.0924953,0.28216,-0.0389608,0.111549,0.114021,0.534873,0.6878,-0.214597,0.205174,0.437631,-0.6117,-0.0046965,0.026206,-0.00588084,0.02217,0.00602228,-0.00608609,0.00794826,0.0183167,0.0162612,-0.0319131,0.00863707,-0.00827997,0.0365589,-0.0139767,-0.000196959,0.0279984,-0.141384,0.0988474,0.116071,0.0231098,-0.0980818,0.129143,-0.112625,0.00862201,-0.390393,0.993774,1.05721,-1.13695,0.358229,0.392406,-0.927956,0.376714,0.338266,-25.3728,-0.113737
-449.784,0.768241,0.00807792,9,1023,0,505.879,-0.617894,-5.84566,-1.9849,1.06487,-0.163554,0.180609,-0.432452,1.26686,-1.16035,-2.73483,11.4605,0.805842,-0.00340667,-0.885305,-1.32722,0.314648,-1.11667,0.243277,0.807139,0.781232,0.590108,-0.0748097,-1.10843,-1.4016,0.39942,-0.974472,0.437184,0.542615,0.952454,0.816865,-0.124213,-1.02218,-1.18381,0.494652,-0.884541,0.243266,0.43441,1.01743,0.462579,0.783585,-0.0203339,1.9861,-0.558358,-0.255463,-0.15661,-0.315236,0.196545,-0.57607,0.826724,-0.159712,0.356659,-0.1286,0.907274,0.528499,-0.224253,0.304206,-0.534463,0.958305,0.623011,0.751095,-0.479665,1.00618,-0.443296,1.56286,0.216995,0.112489,0.117559,0.98062,0.885722,0.167416,0.254444,0.869729,-1.4003,0.825625,-0.591329,0.281575,-0.21532,1.0036,-1.38194,0.448092,1.52662,0.150714,0.0956434,-0.837214,0.621098,-0.170887,-1.1001,-0.350263,2.91022,-0.66139,0.0568337,0.0167016,-1.20413,0.930627,1.02686,0.0323806,-0.909906,0.953445,-0.0457376,0.0728248,0.134016,0.156732,1.96713,1.44514,0.108223,1.02575,1.06772,-0.462834,0.586498,0.607543,-0.333306,0.584391,0.565023,-22.748,12.2039,-1.87442,2.06988,-4.95614,14.5189,-13.2982,-31.3426,0.629549,-0.0026614,-0.691628,-1.03687,0.245813,-0.872379,0.190056,0.630563,0.562051,-0.0712528,-1.05573,-1.33496,0.38043,-0.92814,0.416398,0.516816,0.831101,-0.126377,-1.03999,-1.20444,0.503272,-0.899957,0.247505,0.441981,0.0909174,0.154009,-0.00399652,0.390356,-0.109742,-0.0502099,-0.0307809,-0.0619579,-0.175244,0.251494,-0.0485853,0.108498,-0.039121,0.275998,0.160772,-0.0682191,-0.115976,0.207947,0.13519,0.162984,-0.104085,0.218335,-0.0961929,0.339133,0.0928739,0.0970598,0.809624,0.731275,0.138223,0.210075,0.71807,-1.15612,-0.0565567,0.0269308,-0.0205939,0.0959881,-0.132173,0.042857,0.146011,0.0144148,-0.0139828,0.0103733,-0.00285409,-0.0183735,-0.00584994,0.0486054,-0.0110463,0.000949213,-0.161372,0.124719,0.137615,0.0043395,-0.121942,0.127776,-0.00612955,0.00975966,0.156397,1.48235,1.54302,-0.668862,0.847575,0.877988,-0.481675,0.84453,0.81654,-26.5509,-0.617894
-450.792,0.848643,0.00807792,9,511,0,504.037,-0.421805,-7.67513,-1.17019,1.16074,-0.1878,0.226553,-0.431569,1.26046,-0.961724,-3.16894,10.752,0.459625,-0.00281106,-0.443511,-0.666574,0.123697,-0.604,0.179945,0.746526,1.67322,0.673611,-0.0822407,-1.01391,-1.62038,0.347162,-1.35562,0.605484,0.587118,0.80836,0.759609,-0.0952008,-0.798952,-1.1391,0.531762,-0.93463,0.495119,0.53787,1.02515,0.171129,0.431271,0.955955,0.935205,-0.162436,0.942906,0.208603,-1.53387,0.405933,-0.626455,1.57398,0.470203,0.707056,-0.958704,-0.631222,1.81396,1.2999,0.171023,-0.965554,1.01172,1.36457,0.506282,-0.527134,-0.0735825,1.81378,-0.454306,0.218838,0.0758176,0.117759,0.768641,0.973975,0.14163,-0.207441,1.28337,-0.80204,0.823184,-0.689717,0.861196,1.02018,-0.0847069,-0.531684,-0.633001,1.31415,0.819588,0.0745187,-0.0933588,1.77065,0.773708,0.688578,1.83511,0.966285,0.538871,-0.281343,0.00276456,-1.69423,1.02241,1.33869,0.14173,-1.31252,1.16613,-1.03646,0.140405,0.0927286,0.163153,2.09028,0.789229,-0.125707,1.63023,1.74895,-1.08551,0.804355,0.863233,-0.868559,0.832778,0.793504,-12.582,12.4803,-2.01923,2.43591,-4.64025,13.5525,-10.3405,-34.0725,0.769052,-0.00470351,-0.742089,-1.11532,0.206972,-1.01062,0.301088,1.2491,0.54452,-0.0664801,-0.819604,-1.30985,0.280632,-1.09583,0.48945,0.474603,0.778714,-0.0975952,-0.819047,-1.16775,0.545136,-0.958137,0.507571,0.551398,0.0694668,0.175067,0.388054,0.379631,-0.0659382,0.382757,0.0846787,-0.62265,-0.107138,0.269187,0.0804154,0.120923,-0.16396,-0.107953,0.310229,0.222313,-0.2113,0.221402,0.29862,0.110794,-0.115357,-0.0161027,0.396925,-0.0994195,0.0624118,0.096937,0.632733,0.801761,0.116588,-0.170762,1.05645,-0.660226,-0.0513968,0.0641752,0.0760225,-0.00631225,-0.0396204,-0.0471704,0.0979289,0.0610746,-0.000258096,0.00489506,0.00213896,0.00190361,0.00507325,0.00267135,0.00148974,-0.000777788,-0.157104,0.0948066,0.124135,0.0131424,-0.121709,0.108133,-0.0961098,0.0130196,-0.0992114,1.28663,1.38032,-0.85672,0.634821,0.681289,-0.685492,0.657252,0.626257,-27.1033,-0.421805
-456.73,0.959978,0.00807792,9,1023,0,512.013,-0.413468,-5.80333,-1.71152,1.18235,-0.215108,0.230423,-0.338813,1.46763,-1.1601,-3.15617,8.95572,0.652223,-0.0239577,-0.455836,-0.742426,-0.0329304,-0.827401,0.0235759,0.248664,1.35232,0.73695,-0.13621,-1.0486,-1.49398,0.270469,-0.735961,0.63697,0.466403,0.824425,0.826524,-0.11708,-0.81091,-1.2765,0.538293,-1.03208,0.177884,0.792878,0.907808,-0.153108,0.46515,1.0508,1.21116,-0.312552,0.240604,0.509961,-1.39602,0.357695,-1.38384,1.33406,1.8114,0.438275,1.23561,0.480018,0.736592,0.0820429,0.162247,-0.243725,1.94032,1.78524,1.16583,0.165852,0.328116,2.31104,-0.499299,0.0996451,-0.110668,0.0968549,1.07167,0.543695,0.0257715,0.28239,0.644,-1.26056,0.878362,-0.570133,0.268174,0.924752,1.13378,-0.704745,-0.528125,0.118843,0.165369,0.13788,0.833346,1.53518,0.0450563,1.31813,0.0952733,0.993552,0.491897,-1.60426,0.00192766,-1.50475,1.06805,1.24493,0.0501238,-0.91352,0.714721,-0.144552,-0.335144,0.0983401,0.166833,1.94234,0.967954,-0.0874715,1.30758,1.40037,-0.836137,0.694292,0.711235,-0.676952,0.679701,0.641616,-15.3279,10.5888,-1.92644,2.06361,-3.03432,13.1437,-10.3895,-28.2658,0.882012,-0.0323984,-0.616434,-1.004,-0.0445324,-1.11891,0.0318821,0.336272,0.60756,-0.112295,-0.864492,-1.23167,0.222982,-0.606745,0.525134,0.384515,0.750325,-0.106286,-0.73615,-1.15882,0.488666,-0.936932,0.161485,0.71978,-0.0547661,0.166382,0.375867,0.433225,-0.111798,0.0860629,0.18241,-0.499349,-0.224524,0.216447,0.293893,0.0711086,0.200474,0.0778813,0.11951,0.0133112,-0.024286,0.193344,0.177891,0.11617,0.0165263,0.0326952,0.230284,-0.0497527,-0.0972066,0.0850736,0.941312,0.477561,0.0226367,0.248041,0.565665,-1.10723,-0.0786097,0.0369756,0.127504,0.156325,-0.09717,-0.0728176,0.0163861,0.0228011,0.00160641,0.0029593,8.68532e-05,0.0025409,0.000183654,0.00191523,0.00094821,-0.00309246,-0.147977,0.105033,0.122427,0.00492918,-0.0898357,0.0702857,-0.0142153,-0.0329581,-0.0846683,1.26567,1.35549,-0.809342,0.672042,0.688443,-0.655258,0.657919,0.621054,-25.6292,-0.413468
-468.246,0.993978,0.00807792,9,511,0,515.376,-0.325055,-8.46711,-1.06903,1.58784,-0.249397,0.308098,-0.565816,1.76716,-1.16328,-4.3448,9.37877,1.37277,-0.163319,-0.980428,-2.29253,0.438204,-2.22407,0.440294,0.819846,0.538558,0.911013,-0.193544,-1.41766,-1.69448,0.333992,-1.14252,0.544823,0.582532,0.821409,1.05627,-0.301787,-1.24484,-1.83499,0.769099,-0.989498,0.530033,0.821203,0.749557,0.717229,0.122228,0.254653,0.715704,-0.901116,0.0963106,-0.577474,-1.20448,0.54148,0.190291,1.13624,0.030908,0.612021,-0.828186,0.270607,1.82466,0.673475,0.0905063,1.83329,1.75274,-0.250702,1.41541,-0.226736,0.259325,-0.837664,0.761316,0.0414538,-0.119618,-0.130348,1.01952,0.851783,0.501989,0.111648,1.15083,-1.412,0.695824,-0.559568,1.21558,-1.00166,1.28087,1.41381,0.0106461,-1.1875,0.22169,0.0183504,0.168875,-0.487673,-0.503854,-1.47378,0.702968,-0.945692,0.140409,1.55348,0.111137,-1.65301,0.820797,1.04274,0.160258,-1.05309,0.90726,-0.831391,0.765749,0.113171,0.172414,2.0311,1.01032,-0.176725,1.15798,1.25342,-0.881565,0.530349,0.601347,-0.738679,0.563409,0.520767,-10.0262,14.892,-2.33904,2.88958,-5.30666,16.5738,-10.9101,-40.7489,0.739319,-0.0879568,-0.528017,-1.23466,0.235998,-1.19779,0.237124,0.441535,0.748315,-0.158979,-1.16448,-1.39187,0.274344,-0.938478,0.447523,0.478498,0.791735,-0.226206,-0.933077,-1.37543,0.576484,-0.741685,0.39729,0.615539,0.388365,0.0661837,0.13789,0.387539,-0.487936,0.0521502,-0.31269,-0.652202,0.0172225,0.102837,0.00279736,0.0553918,-0.0749561,0.0244917,0.165144,0.0609537,0.075997,0.0726578,-0.0103926,0.0586743,-0.00939909,0.01075,-0.0347244,0.0315595,-0.0832328,-0.0906996,0.709408,0.592692,0.349296,0.0776872,0.800774,-0.982502,-0.0102683,0.0223064,-0.0183809,0.0235045,0.0259439,0.00019536,-0.021791,0.00406809,0.0187683,-0.0541986,-0.055997,-0.163792,0.0781259,-0.105102,0.0156047,0.172649,-0.187073,0.0928904,0.118008,0.0181365,-0.119179,0.102675,-0.0940893,0.0866604,-0.178548,1.16993,1.26635,-0.890659,0.53582,0.607551,-0.746299,0.569221,0.526139,-26.6779,-0.325055
