# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_11b62c29ae60_model
# start_datetime = 2023-06-28 17:23:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmprjNnIy/standata-11b6bd84016.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmprjNnIy/model_a5ad949a58461d46c72d278eadbd8b02-202306281423-1-3c2c22.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmprjNnIy/model_a5ad949a58461d46c72d278eadbd8b02-profile-202306281423-1-7fc6ef.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0185818
# Diagonal elements of inverse mass matrix:
# 0.0830931, 5.96165, 0.323955, 0.120254, 0.0238703, 0.0775766, 0.151647, 0.10938, 0.260667, 0.227837, 0.07228, 0.331747, 0.282754, 0.454214, 0.309883, 0.426632, 0.461016, 0.646037, 0.542056, 0.322621, 0.354098, 0.231666, 0.526915, 0.248813, 0.682911, 0.417259, 0.810999, 0.550139, 0.589518, 0.390484, 0.328913, 0.611962, 0.363658, 0.526933, 0.551605, 0.839079, 0.52878, 0.916851, 0.406788, 0.377077, 0.693899, 0.422976, 0.549189, 0.674432, 0.582723, 0.689758, 0.783332, 0.0851036, 0.0415291, 0.14975, 0.0773332, 0.189381, 0.200198, 0.382228, 0.220105, 0.126504, 0.40126, 0.241684, 0.508672, 0.308362, 0.458749, 0.52907, 0.752514, 0.502012, 0.524461, 0.418872, 0.302964, 0.621124, 0.374127, 0.627282, 0.590901, 0.690679, 0.521, 0.502885, 0.131546, 0.0893074, 0.277373, 0.141614, 0.283915, 0.282404, 0.336881, 0.389249, 0.131075, 0.0924493, 0.0708797, 0.197288, 0.129561, 0.171747, 0.153148, 0.292281, 0.229302, 0.125227, 0.0106803, 0.00144615, 0.0178843, 0.0694004, 0.214753, 0.138502, 0.137937, 0.299008, 0.132274, 0.139961, 0.191818, 0.128696, 0.133575
-1857.52,0.974208,0.0185818,8,255,0,1908.43,0.272362,4.15536,-3.01373,-1.24915,-0.533894,-0.609332,0.992139,-0.0951034,0.572253,0.309326,3.56821,0.477558,0.205178,1.79924,-0.976653,0.48923,1.79471,0.672449,0.0840857,0.315602,1.46292,-1.20953,2.07382,-1.0468,-0.234606,-0.866858,1.62856,-0.0667038,0.341258,0.15089,-0.572941,0.865254,0.122165,0.199417,-0.226111,1.27255,-0.753797,0.953664,-0.839287,-0.835168,-0.570821,0.65981,0.685097,1.65213,0.0917102,1.09876,0.359114,-0.25717,-0.318543,-0.126558,0.330108,-0.0760268,0.461253,-1.9203,0.970185,1.03188,1.09971,-0.865682,-1.10469,0.561758,-0.978421,-2.02685,-1.28796,-0.871836,0.275009,0.03129,-1.44688,0.011063,-0.220524,-2.03272,-2.01725,0.887095,0.514197,0.423065,-0.0831793,-0.973051,-2.16892,-0.410977,1.24037,-1.38797,0.82422,0.227428,0.841591,0.151425,-0.80107,-1.91958,-1.16271,-0.423149,-0.337336,-1.28863,0.447305,1.11997,0.212697,0.411422,2.01898,0.796112,-1.5342,0.106692,0.16676,-1.927,0.125235,0.111317,-1.27433,-0.124274,0.181634,-10.7536,-4.45723,-1.90505,-2.17423,3.54016,-0.339349,2.04192,1.10374,0.150718,0.0647547,0.567844,-0.308234,0.154402,0.566413,0.212226,0.0265376,0.499232,-0.412762,0.707708,-0.35723,-0.0800613,-0.295822,0.555759,-0.0227632,0.143898,-0.546393,0.825161,0.116504,0.190177,-0.215634,1.21359,-0.718869,-0.3014,-0.299921,-0.20499,0.236947,0.246028,0.593302,0.0329344,0.394581,-0.265368,-0.328698,-0.130592,0.340631,-0.0784503,0.475957,-1.98152,1.00111,0.30243,-0.23807,-0.3038,0.154489,-0.269075,-0.557402,-0.354201,-0.239763,0.0132377,-0.612123,0.00468037,-0.093296,-0.859973,-0.853426,0.375299,0.217539,-0.0700029,-0.818911,-1.82534,-0.345874,1.04388,-1.1681,0.693656,0.191401,0.169592,-0.897178,-2.14987,-1.3022,-0.473915,-0.377808,-1.44323,0.50097,-1.2214,0.0849392,0.13276,-1.53411,0.0997015,0.0886209,-1.01451,-0.098936,0.144601,-23.1748,0.272362
-1864.98,0.94118,0.0185818,8,255,0,1907.35,0.218823,3.71338,-2.72947,-1.07994,-0.514227,-0.134152,1.05867,-0.685678,0.956723,0.244312,3.49375,0.88685,0.320701,1.74426,-0.941707,0.635479,2.36278,0.180486,-0.160748,0.240147,1.28806,-1.19851,1.2389,-0.893424,-0.473864,-0.256812,0.783569,-0.0529178,0.515569,0.343278,-0.514316,0.437939,0.198127,0.527191,1.22509,1.18973,0.516322,0.860751,-0.726893,-0.312026,-1.11723,-0.914756,1.64018,0.0860223,-0.437694,0.563731,0.49117,0.0595082,-0.302215,-0.673801,0.0713294,1.17607,0.273414,-2.29116,1.63071,0.864438,1.35515,-0.583185,0.0117879,0.610523,-1.34188,-2.31609,-0.608177,-1.65074,0.271431,0.225188,-1.37365,-0.043454,0.22324,-2.42454,-1.86342,1.71933,-0.107688,0.461592,0.121152,-0.698832,-1.81214,-0.559841,0.778914,-0.719695,0.633181,0.315655,0.955011,0.236703,-0.666579,-0.991467,-0.174322,-0.646676,-0.376369,-1.55885,-0.0733065,1.29896,0.209538,0.415969,1.96092,0.855599,-1.33883,0.297348,0.140081,-1.72714,0.0907221,0.175647,-1.2669,-0.0330896,0.181362,-9.5361,-3.77305,-1.79658,-0.468696,3.69871,-2.39559,3.34255,0.853564,0.212975,0.0770156,0.418879,-0.226148,0.152609,0.567415,0.0433431,-0.0386033,0.664083,-0.617916,0.638741,-0.460622,-0.24431,-0.132404,0.403984,-0.0272828,0.295477,-0.442698,0.376956,0.170538,0.45378,1.0545,1.02406,0.444425,-0.357028,-0.153258,-0.548748,-0.4493,0.805607,0.0422515,-0.214982,0.276888,0.0514412,-0.261246,-0.582459,0.0616598,1.01664,0.23635,-1.98056,1.40965,0.367829,-0.158294,0.00319959,0.165715,-0.364227,-0.628659,-0.165078,-0.448062,0.103945,-0.634067,-0.020058,0.103046,-1.11915,-0.860142,0.793629,-0.049708,0.115702,-0.667392,-1.73061,-0.534654,0.743871,-0.687316,0.604695,0.301454,0.307469,-0.865861,-1.28788,-0.226438,-0.840008,-0.48889,-2.02488,-0.0952223,-1.1455,0.254411,0.119853,-1.47774,0.0776218,0.150283,-1.08396,-0.0283114,0.155173,-23.0012,0.218823
-1868.83,0.973276,0.0185818,8,255,0,1915.48,-0.445519,4.76291,-2.36923,-0.882846,-0.243552,-0.471547,0.894203,-0.135271,0.981067,0.38884,4.19263,-1.00344,1.2415,1.47835,1.37445,1.30546,-1.14109,0.657585,-0.622132,0.358007,-0.12575,0.0122637,0.994159,0.0400346,-0.503625,0.0229765,0.931451,-0.0483122,0.419487,-0.344114,-0.208241,0.380659,0.261289,0.710473,0.321965,1.52776,-1.39629,0.769534,-1.13743,0.777188,-1.68583,-1.95823,-0.137493,0.664999,-0.234832,-0.0960422,0.262559,-0.718518,0.0904695,-0.0187503,0.240761,0.627272,1.40529,-2.50386,0.864503,0.670852,0.297896,0.647011,-1.66978,-0.259259,1.00228,0.61847,-1.07812,2.2535,0.197919,-1.42847,-1.07754,-0.545437,-0.613646,1.34008,0.0195976,-1.16113,-0.0361588,0.277086,-0.000836866,-0.26232,-1.5072,-0.232809,0.738859,-0.859547,-0.694604,0.121641,1.42941,-0.958945,-0.860215,-1.9461,-0.821114,0.240953,-0.483243,-1.98855,-0.241974,0.762661,0.254587,0.437337,2.14928,0.781281,-0.600954,1.20243,1.04619,-0.970566,0.943172,1.04635,-0.474597,0.804042,0.924742,-9.93333,-3.70145,-1.02113,-1.97703,3.74907,-0.567143,4.11325,1.63027,-0.359238,0.444467,0.529258,0.492064,0.467364,-0.408518,0.23542,-0.222727,-0.0527503,0.00514447,0.417037,0.016794,-0.211264,0.00963835,0.390731,-0.0202663,-0.264808,-0.160249,0.29293,0.201071,0.546733,0.247763,1.17566,-1.07449,-0.298643,0.204058,-0.44263,-0.51415,-0.0361,0.174602,-0.0616572,-0.0252167,-0.48202,0.0606917,-0.0125787,0.161515,0.420806,0.942745,-1.67972,0.579953,0.0589594,0.128056,-0.330481,-0.0513123,0.198372,0.122407,-0.21338,0.446012,-0.395808,-0.298572,-0.151133,-0.170032,0.371318,0.0054302,-0.321733,-0.0100191,-0.00119622,-0.374962,-2.1544,-0.332779,1.05613,-1.22864,-0.992872,0.173874,-0.73135,-0.656052,-1.48421,-0.626231,0.183766,-0.36855,-1.51659,-0.184544,-0.469514,0.939433,0.817369,-0.758285,0.736883,0.817495,-0.370793,0.628183,0.722483,-23.5356,-0.445519
-1857.82,0.996246,0.0185818,8,255,0,1921.18,-0.286848,8.58802,-2.79533,-1.08267,-0.135202,-0.427603,0.915183,-0.20089,0.798802,1.29431,5.87043,-0.323768,1.35042,2.31624,1.37905,0.869411,0.197282,1.40838,1.20295,0.287764,0.653601,-0.316546,1.39885,-0.537202,-0.325507,0.231912,0.846555,-0.425,0.538014,0.447588,-0.429718,1.99671,-0.0551081,-0.483097,0.656878,1.50222,-0.0684544,0.344881,-0.90972,0.258509,-1.28488,-0.0517755,0.262888,1.09663,0.226353,1.08675,0.421878,-0.0896347,-0.0290453,-0.387315,0.0208736,1.19007,0.261642,-2.17721,0.93597,1.21299,0.548973,0.783076,-2.12125,0.185886,1.29573,-2.3871,0.230066,-1.0729,0.187234,-0.319867,-0.696874,-0.304222,-0.433963,-0.872399,-0.911846,0.125882,-1.02902,0.591635,-0.892283,-0.634673,-1.39592,-0.482167,1.14124,-0.137205,-0.496298,0.0622613,0.735145,0.147248,-0.755405,-1.7224,-1.50141,0.355869,-0.0962222,-2.20507,-0.230017,0.844332,0.267609,0.418161,2.20428,0.832208,-0.813998,0.733814,0.799721,-1.26089,0.687651,0.86316,-0.699221,0.552183,0.752517,-16.4098,-6.35574,-0.793693,-2.51021,5.37252,-1.17931,4.68931,7.59815,-0.0931689,0.388602,0.666532,0.396842,0.250185,0.0567706,0.405281,0.346165,0.351647,-0.170306,0.752601,-0.289022,-0.175127,0.124772,0.455458,-0.228656,0.154365,-0.148202,0.688628,-0.0190057,-0.166611,0.226545,0.518086,-0.0236086,-0.383791,0.109059,-0.542061,-0.0218429,0.110907,0.462645,0.0954935,0.458475,-0.108726,-0.0352317,-0.46981,0.0253195,1.44354,0.317369,-2.64093,1.13532,0.102786,0.146618,-0.397169,0.0348042,0.242604,-0.446945,0.0430761,-0.200884,-0.189244,-0.412295,-0.179988,-0.256748,-0.516142,-0.53948,0.0744762,-0.608805,-0.655957,-0.466577,-1.02621,-0.354462,0.838977,-0.100866,-0.364851,0.045771,0.124326,-0.637813,-1.45428,-1.26769,0.300472,-0.0812436,-1.86181,-0.194211,-0.677415,0.610685,0.665534,-1.04932,0.572269,0.718328,-0.581897,0.459531,0.62625,-25.8168,-0.286848
-1860.86,0.744491,0.0185818,8,255,0,1916.62,-0.0922596,3.13159,-2.13457,-0.941214,-0.0634664,-0.242869,0.728845,-0.268333,0.231293,-0.733152,3.14182,0.086738,0.939075,1.10523,0.526007,0.722129,1.57737,0.228264,-0.226475,0.72267,0.437584,0.30463,0.660863,0.767767,-0.258309,0.653264,2.07082,0.303191,0.613532,0.54137,0.192033,0.809295,0.813798,1.55782,0.790945,0.374716,-0.837444,0.666746,-0.594056,1.32729,-1.73304,1.15133,1.19368,1.40226,-0.166766,0.453906,0.400097,0.259672,0.283439,-0.594558,0.912102,0.0501431,1.46198,-2.25054,0.998703,0.977155,0.446266,0.458094,-0.612268,1.2458,0.0903749,-0.151386,-1.8612,0.68119,0.410905,-0.155895,-0.0437355,-0.931804,0.735378,0.101811,-1.60875,1.51617,1.10472,0.425114,0.0370601,-0.311341,-2.55141,-0.184555,1.18365,-1.2567,0.320478,0.80167,0.721644,0.0126428,-0.583507,-2.14719,-0.384006,-1.00953,-0.373643,-1.52784,0.542111,0.69702,0.188343,0.425308,2.13553,0.664222,-1.32514,0.701198,0.751981,-1.87296,0.70957,0.70981,-1.17491,0.39087,0.771842,-6.70645,-2.95713,-0.1994,-0.76305,2.2899,-0.843054,0.726682,-2.30343,0.062683,0.678641,0.798718,0.38013,0.521861,1.13992,0.16496,-0.163667,0.268472,0.186901,0.40546,0.47105,-0.158481,0.400798,1.27052,0.186017,0.360956,0.128037,0.539595,0.542597,1.03867,0.52736,0.24984,-0.558363,-0.23768,0.531045,-0.693386,0.460645,0.477588,0.561042,-0.0667225,0.181606,0.25374,0.276964,-0.580976,0.891266,0.0489976,1.42858,-2.19913,0.975888,0.183373,0.188233,-0.251584,0.511905,0.0371355,-0.0622051,-0.764776,0.279904,-0.0662731,-0.0185926,-0.396123,0.31262,0.0432814,-0.683903,0.644545,0.469631,0.0267442,-0.224677,-1.84121,-0.133183,0.854176,-0.906888,0.231271,0.57852,0.00881229,-0.406716,-1.49663,-0.26766,-0.703661,-0.260437,-1.06494,0.377863,-0.880184,0.465752,0.499483,-1.24406,0.471312,0.471472,-0.780405,0.259625,0.512675,-22.5416,-0.0922596
-1840.04,0.964172,0.0185818,8,255,0,1904.28,-0.284541,7.23554,-2.43845,-1.29534,-0.213368,-0.578244,0.908832,-0.90194,0.848641,0.578145,6.40597,0.0376505,1.05126,1.1915,-0.372233,-0.635348,-0.0784845,0.692477,-1.03471,0.56664,0.523334,-0.0706839,-0.0600046,-0.03092,-1.34211,-0.747844,-0.57646,-0.574515,0.659371,1.11609,-0.367251,0.170361,-0.138642,-0.707667,0.43346,0.55373,-0.200042,0.244094,-0.503106,0.0990876,-0.658215,-0.174809,-0.297073,0.241795,-0.343266,-0.105967,1.0222,-0.193723,0.0452038,-0.412426,-0.0992212,0.553365,-0.16994,-2.06939,1.14298,1.23352,0.186716,0.461561,-1.82365,0.188194,-1.37415,-2.04439,-0.468007,-0.211664,0.331691,-0.49053,-0.315302,-0.831747,-0.310804,-0.783732,-1.47079,0.541573,-0.520269,0.986275,-0.0245062,-0.191125,-0.992952,-0.293153,0.468111,-0.930913,-1.02262,0.392698,1.90911,-0.0953565,-0.442437,-0.805064,-0.621768,-0.427686,-0.428579,-1.02103,-0.780759,1.79669,0.278272,0.414516,1.98982,0.608349,-1.0505,1.26489,1.03597,-1.56363,0.959169,1.03641,-0.757912,0.867312,0.886742,-15.6206,-8.29794,-1.36683,-3.70421,5.82195,-5.7778,5.43637,3.70358,0.0213343,0.595688,0.67515,-0.210922,-0.360014,-0.0444725,0.392385,-0.586308,0.345072,-0.0466069,-0.0395653,-0.0203878,-0.884949,-0.493107,-0.380101,-0.378819,0.27243,-0.0896438,0.0415842,-0.0338416,-0.172737,0.105805,0.135162,-0.0488292,-0.514277,0.101288,-0.672831,-0.178691,-0.303669,0.247163,-0.350888,-0.10832,-0.238962,0.05576,-0.508737,-0.122392,0.682589,-0.209625,-2.55264,1.40989,0.0619319,0.153096,-0.604888,0.0624221,-0.455793,-0.678104,-0.155234,-0.0702069,-0.483797,-0.310974,-0.820331,-0.306539,-0.772975,-1.45061,0.53414,-0.513129,-0.0467851,-0.364878,-1.89566,-0.559662,0.893677,-1.77722,-1.9523,0.749704,-0.171326,-0.794921,-1.44645,-1.11712,-0.768418,-0.770024,-1.83447,-1.40278,-0.639072,0.769491,0.630233,-0.951233,0.583509,0.630498,-0.461075,0.527628,0.539448,-26.1882,-0.284541
