# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_1cbd6d0d121d_model
# start_datetime = 2023-06-16 18:50:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/Rtmp0ADxYU/standata-1cbd50c5b786.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/Rtmp0ADxYU/model_a5ad949a58461d46c72d278eadbd8b02-202306161550-3-72a09a.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/Rtmp0ADxYU/model_a5ad949a58461d46c72d278eadbd8b02-profile-202306161550-3-506a30.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0184647
# Diagonal elements of inverse mass matrix:
# 0.080464, 7.16657, 0.313773, 0.117668, 0.0262428, 0.0666087, 0.165935, 0.142574, 0.262063, 0.23375, 0.0826375, 0.285639, 0.313848, 0.534196, 0.30999, 0.501606, 0.459475, 0.665535, 0.557388, 0.270465, 0.299946, 0.176215, 0.407061, 0.303252, 0.459245, 0.457563, 0.60079, 0.578333, 0.604104, 0.342458, 0.283235, 0.55644, 0.388816, 0.391869, 0.639642, 0.791232, 0.702152, 0.540035, 0.388442, 0.30334, 0.649094, 0.461702, 0.550433, 0.652432, 0.605021, 0.721371, 0.511524, 0.080963, 0.034514, 0.138308, 0.0806279, 0.176223, 0.178133, 0.379137, 0.260833, 0.105169, 0.373552, 0.225559, 0.53883, 0.363285, 0.585461, 0.444801, 0.612626, 0.63982, 0.348951, 0.429846, 0.331535, 0.568131, 0.356484, 0.634129, 0.629105, 0.637042, 0.627746, 0.750922, 0.120449, 0.0821061, 0.33804, 0.135087, 0.322118, 0.231141, 0.353349, 0.290308, 0.133246, 0.0842689, 0.0681132, 0.205629, 0.105892, 0.175579, 0.155787, 0.247645, 0.21553, 0.110066, 0.00935827, 0.00125911, 0.0188922, 0.0740733, 0.208609, 0.156478, 0.154433, 0.299046, 0.145435, 0.154073, 0.194712, 0.136235, 0.148695
-1855.9,0.92972,0.0184647,8,255,0,1913.98,-0.0536042,1.12534,-1.00827,-1.54008,-0.605783,-0.635562,1.31038,-0.324068,1.12102,0.383331,3.86241,0.229643,1.66352,1.42355,0.158224,-0.432834,1.18182,0.983983,-1.81962,0.323954,0.717038,0.0539726,0.244159,-0.414474,-1.31516,-0.799048,1.8376,0.540459,0.626086,0.561144,0.143655,0.591902,-0.590508,0.335949,-0.799567,2.17951,-0.286689,0.411827,-0.417607,0.532579,-1.27841,-0.0889774,1.37058,0.0950936,-0.0325111,-0.00692993,0.562084,0.0378828,0.127573,-0.512821,-0.17153,0.544164,0.873479,-1.46199,0.674735,1.65464,0.953411,0.513038,-0.690962,-1.07886,-0.58444,-0.681188,-0.974557,0.0599131,0.49148,0.0586083,-0.335704,-0.612471,0.247465,-1.05542,-0.584456,0.675256,0.673054,0.652371,-0.247292,-0.578982,-2.69691,-0.588975,0.960542,-0.565631,0.612508,0.582065,0.66395,0.194591,-0.486195,-1.95285,-1.22628,-0.261979,-0.0146952,-2.50489,0.619589,1.20816,0.254124,0.456254,2.36486,0.798507,-1.079,0.534884,0.700892,-1.59956,0.404126,0.57266,-0.937138,0.199874,0.426357,-3.89437,-5.9484,-2.33978,-2.4548,5.06121,-1.25168,4.32986,1.48058,0.0743938,0.538903,0.461166,0.0512575,-0.140219,0.382857,0.318765,-0.589472,0.448928,0.0337915,0.152864,-0.259497,-0.823405,-0.500273,1.15049,0.338374,0.231094,0.059161,0.243761,-0.243187,0.138353,-0.329283,0.897582,-0.118066,-0.23473,0.299354,-0.718577,-0.0500128,0.770379,0.0534506,-0.018274,-0.00389521,0.0626826,0.211089,-0.848536,-0.283821,0.900397,1.4453,-2.41907,1.11645,0.468582,0.252148,-0.339594,-0.530239,-0.287241,-0.33479,-0.478975,0.0294461,0.0382343,-0.219004,-0.399558,0.161439,-0.688526,-0.381282,0.440517,0.439081,-0.164189,-0.384415,-1.79061,-0.39105,0.637752,-0.37555,0.406675,0.386462,0.235098,-0.587403,-2.35936,-1.48154,-0.316514,-0.0177542,-3.02632,0.748564,-0.86159,0.427108,0.559667,-1.27726,0.322697,0.457273,-0.748311,0.1596,0.340449,-22.1401,-0.0536042
-1859.48,0.977824,0.0184647,8,255,0,1912.68,0.131087,3.80786,-1.88146,-1.1566,-0.492713,-0.366677,1.77662,-0.113616,1.2063,-0.583346,3.37923,0.649779,1.83196,2.26663,-0.0765126,-0.321006,2.02318,0.36082,-1.24302,0.320293,1.04975,-0.0421552,1.14842,-0.765587,-1.11203,0.737775,0.696717,0.724356,0.581638,0.464782,-0.0212841,1.34051,0.767833,1.55826,1.32882,0.726553,0.231212,0.630897,-0.295574,0.498007,-1.00096,-1.20316,1.0378,0.0606273,-0.59298,0.756339,0.643667,0.117545,0.237507,-0.373168,0.151961,-0.0807364,0.54815,-2.51099,0.975888,1.13033,1.06952,1.25738,-1.68815,-1.27829,-0.673207,-0.475003,-1.68079,-0.850676,0.16787,0.10052,-0.132659,-0.410651,-0.737946,0.108738,-1.03089,0.190671,0.263252,0.708522,-0.0201565,-0.486455,-2.63854,-0.13177,1.33104,-2.0706,0.0622971,0.64481,0.635436,-0.00641431,-0.380893,-0.962437,-0.792861,-0.691017,-0.0554226,-1.34611,0.431965,1.54412,0.243923,0.429696,2.40438,0.688512,-1.49382,0.366331,0.492487,-2.0501,0.177638,0.316422,-1.39548,-0.0426302,0.29588,-6.35789,-3.90841,-1.66499,-1.23909,6.00361,-0.383934,4.07637,-1.97126,0.20812,0.586765,0.725985,-0.0245065,-0.102816,0.64801,0.115568,-0.398129,0.610575,-0.0245191,0.667963,-0.445295,-0.646802,0.429118,0.405237,0.421313,0.293229,-0.0134281,0.845725,0.484423,0.983099,0.838347,0.45838,0.145871,-0.190251,0.320551,-0.644282,-0.774434,0.667999,0.0390238,-0.381682,0.48683,0.132865,0.268462,-0.421804,0.171767,-0.0912589,0.619591,-2.83825,1.10308,0.17954,0.211076,-0.28339,-0.214588,-0.113011,-0.0797389,-0.282155,-0.142803,0.0712206,-0.0939917,-0.290955,-0.522851,0.0770435,-0.730412,0.135095,0.18652,-0.0128082,-0.309111,-1.67663,-0.0837312,0.845794,-1.31574,0.0395858,0.409736,-0.00990447,-0.588145,-1.48612,-1.22427,-1.06701,-0.0855792,-2.07856,0.667007,-1.02852,0.252223,0.339083,-1.41152,0.122306,0.21786,-0.960803,-0.0293514,0.203717,-22.9205,0.131087
-1855.88,0.989426,0.0184647,8,255,0,1906.89,0.146319,3.2833,-1.33558,-1.41102,-0.217288,-0.808593,0.587925,0.373882,1.29939,0.87616,3.5922,-0.136515,0.738009,-0.407639,0.625917,0.996415,0.300788,0.145268,0.546695,0.682665,0.477182,0.00552326,0.953287,0.458431,0.149249,-0.749209,0.965744,0.0130563,0.501967,0.754061,0.186306,0.286872,0.0998524,-0.738392,0.388252,2.37825,-0.249653,0.534933,-0.669159,0.345215,-0.563733,-0.188906,0.921708,1.34087,0.0312968,0.919896,0.811242,-0.280256,0.207296,-0.568023,0.242877,1.35973,0.707728,-1.39886,1.30572,1.1561,0.639432,0.471135,-1.40273,0.624986,-0.0642744,-1.96847,0.956532,0.253658,0.526337,0.0121382,-0.16158,-1.28967,0.865046,-1.32306,-1.53155,1.0227,0.550677,0.653923,0.129676,-0.486561,-3.40504,-0.910104,1.01569,-1.46329,0.28765,1.29123,0.73148,-0.137577,-0.334482,-1.24948,-0.547284,0.188229,-0.35784,-0.828419,-0.222505,1.4444,0.221039,0.415606,1.89293,0.899526,-1.15544,0.357319,0.461666,-1.55686,0.154248,0.343465,-1.06468,-0.0546304,0.20693,-4.79767,-5.06866,-0.780542,-2.90463,2.11194,1.34306,4.66768,3.14734,-0.0931939,0.503813,-0.278281,0.427291,0.680217,0.205337,0.0991694,0.373209,0.23953,0.00277249,0.478518,0.230117,0.0749181,-0.376078,0.484771,0.00655384,0.403372,0.0996609,0.153457,0.0534143,-0.39499,0.207689,1.2722,-0.133547,-0.54285,0.280053,-0.457324,-0.153248,0.747728,1.08777,0.0253893,0.746258,-0.324005,0.239655,-0.656692,0.28079,1.57198,0.818206,-1.61723,1.50955,0.336557,0.247976,-0.738309,0.328954,-0.03383,-1.03608,0.503459,0.13351,0.00793743,-0.105661,-0.843349,0.565674,-0.865179,-1.00152,0.668767,0.360101,0.0948552,-0.35591,-2.49072,-0.665723,0.74296,-1.07036,0.21041,0.944506,-0.198716,-0.483124,-1.80474,-0.790495,0.271877,-0.516862,-1.19656,-0.321385,-1.03935,0.321418,0.415281,-1.40043,0.13875,0.308956,-0.957706,-0.0491415,0.186139,-22.9469,0.146319
-1868.4,0.989237,0.0184647,8,255,0,1921.49,-0.140393,8.59338,-2.82373,-1.30761,-0.0121981,-0.607968,1.12785,-0.503222,1.41991,0.095923,4.46427,-0.802206,2.48844,2.788,0.0392125,1.19222,1.47604,1.00477,-0.171649,0.269838,0.295583,0.356007,0.917522,-0.0737152,-1.02124,-0.353659,2.07333,0.804098,0.627942,-0.440303,0.34587,0.600174,1.11856,2.45845,1.2636,-0.618168,0.419861,0.261612,-0.6695,1.51805,-2.97448,0.281918,0.0932057,0.268814,-0.710466,0.60081,0.330691,-0.932448,0.375247,-0.615358,0.151102,0.810714,0.574398,-2.89652,1.16202,0.815465,-0.471705,1.11993,-1.39194,0.128706,-0.85711,-0.554338,-2.10616,0.472849,0.424814,-0.203992,0.0608091,-0.519455,-0.351735,0.467092,-1.45973,-0.0137357,0.16336,0.530293,-0.872267,-0.197696,-2.21506,0.112652,1.68459,-0.927484,-1.27616,-0.217949,0.627533,-0.184829,-0.229623,-1.31924,-0.567071,-0.563507,-0.199576,-1.38775,0.293557,1.66763,0.241893,0.416858,2.33243,0.600738,-1.34501,1.01187,0.909058,-1.98176,0.702944,0.959764,-1.19534,0.640641,0.768024,-12.6059,-5.83752,-0.0544554,-2.71413,5.03503,-2.24652,6.33887,0.428226,-0.216465,0.671475,0.752307,0.010581,0.321706,0.39829,0.271123,-0.0463174,0.185609,0.223552,0.576151,-0.0462889,-0.641277,-0.222078,1.30193,0.504927,-0.115189,0.0904837,0.157013,0.292629,0.643161,0.330573,-0.16172,0.109841,-0.221398,0.502007,-0.983634,0.0932276,0.0308223,0.0888945,-0.234945,0.198682,-0.760379,0.306001,-0.501803,0.123218,0.661109,0.468402,-2.36201,0.94759,-0.200387,0.475762,-0.591314,0.054676,-0.364112,-0.235491,-0.894725,0.200873,-0.108176,0.0322466,-0.275463,-0.186522,0.247695,-0.774083,-0.00728396,0.0866288,-0.547376,-0.124061,-1.39002,0.0706929,1.05714,-0.582027,-0.800834,-0.13677,-0.308227,-0.382927,-2.20001,-0.945667,-0.939723,-0.33282,-2.31427,0.489545,-0.807996,0.607871,0.546106,-1.19052,0.422286,0.576567,-0.718088,0.384858,0.461382,-25.359,-0.140393
-1863.15,0.990221,0.0184647,8,255,0,1915.69,0.238951,0.674947,-1.59874,-1.57517,-0.637011,-0.685652,0.839544,-0.916073,0.877406,0.525638,4.39768,0.706212,0.67231,0.735841,-0.19847,-0.597814,0.478557,0.0557908,-0.5092,0.491023,0.888881,-1.14648,0.46604,-0.199056,-0.750614,0.478689,-0.0983221,-1.50253,0.240872,0.662864,-1.01623,0.663171,-1.04492,-1.35629,0.686591,2.37119,-1.66757,0.224872,-0.491946,-0.150239,-0.925918,-0.219645,1.58926,-0.0425481,-0.179217,0.261815,0.37322,0.132283,-0.0953149,-0.496904,-0.315521,0.081748,0.0609733,-2.64328,0.0738803,0.861234,-0.544728,-0.671749,-1.19866,0.20545,-0.489639,-1.0798,-0.0907692,0.154753,0.160986,0.42728,-0.902064,-1.28871,-0.767309,-0.448053,-1.24129,-0.418395,0.0541722,0.601719,-0.23289,-0.88449,-2.11619,-0.64588,0.642453,-1.2117,-0.0799242,0.104437,0.866225,0.104467,-0.392142,-1.11743,-0.778548,-0.382233,-0.0277989,-1.3377,0.0514777,1.67275,0.229082,0.399713,2.03955,1.13121,-1.00444,0.0761323,0.0676591,-1.27211,0.00113417,0.110414,-0.944069,-0.124587,0.0688483,-7.03074,-6.92708,-2.80137,-3.01528,3.69205,-4.0286,3.85855,2.31159,0.346766,0.330119,0.361315,-0.0974535,-0.29354,0.234982,0.0273946,-0.250029,0.214106,-0.276155,0.112256,-0.047947,-0.180802,0.115303,-0.023683,-0.361917,0.14906,-0.228523,0.149129,-0.234973,-0.304993,0.154395,0.533215,-0.37499,-0.183604,-0.0560723,-0.345571,-0.0819761,0.593143,-0.0158798,-0.0668875,0.0977147,0.113927,-0.0820884,-0.427951,-0.271737,0.0704042,0.0525123,-2.27648,0.0636282,-0.0876934,-0.108142,-0.192967,0.0330745,-0.0788248,-0.173833,-0.0146125,0.024913,0.257102,-0.542789,-0.775439,-0.461705,-0.269602,-0.746911,-0.251756,0.0325964,-0.201735,-0.766167,-1.8331,-0.559477,0.556509,-1.0496,-0.0692324,0.0904661,0.174748,-0.655956,-1.86918,-1.30232,-0.639381,-0.0465006,-2.23765,0.0861094,-1.13623,0.0861215,0.0765365,-1.43902,0.00128298,0.124901,-1.06794,-0.140934,0.0778817,-22.3426,0.238951
-1869.74,0.95602,0.0184647,8,255,0,1918.44,0.224496,3.56521,-3.91469,-0.934279,-0.442069,-0.359572,1.22429,0.0393015,-0.0121694,1.11046,3.76888,-0.635959,0.438565,1.36675,-0.224107,1.22132,0.865098,1.13411,-0.31317,0.856643,0.949138,-0.0995727,1.88194,-1.00963,-0.512849,-0.276287,1.68325,-0.557441,0.425437,0.166399,-0.453929,0.263061,0.933516,1.31629,1.04519,-0.0489473,-0.680765,0.457273,-0.813737,0.214127,-1.20443,-0.150017,-0.0282912,2.05777,0.0189276,0.429818,0.467855,-0.729272,-0.0372014,-0.816488,0.341042,1.11652,1.88713,-1.98665,1.22111,0.483506,0.10562,-0.0306183,0.723895,-1.23453,2.04826,-3.38722,0.0194147,-0.479573,0.0532257,-0.470564,-0.490406,-0.419575,0.0944169,-0.509367,-0.950961,1.87841,-0.739118,0.865407,-0.20259,-0.280251,-1.28062,-0.592845,0.604736,0.414744,-0.0727901,0.018766,1.52502,-0.280768,-0.450554,-0.842657,-0.643565,0.105756,-0.270517,-0.346944,-0.0629715,1.45794,0.226885,0.453142,2.35958,0.89346,-1.32052,0.292782,0.343393,-1.6835,0.112337,0.181689,-1.13727,-0.0687356,0.196469,-14.754,-3.52119,-1.66611,-1.35519,4.61421,0.148123,-0.045865,4.1852,-0.54479,0.375693,1.17081,-0.191979,1.04624,0.74108,0.971527,-0.268275,0.403798,-0.0423619,0.800646,-0.429536,-0.218185,-0.117543,0.716117,-0.237156,0.07609,-0.20757,0.120291,0.426872,0.601903,0.477937,-0.0223823,-0.311296,-0.380711,0.10018,-0.563501,-0.070186,-0.0132362,0.962738,0.00885535,0.201093,-0.352607,-0.0179871,-0.394776,0.164896,0.539843,0.912439,-0.960556,0.590416,0.0056217,-0.00162968,0.0385298,-0.0657089,0.10902,-0.180287,0.00103336,-0.0255256,-0.407229,-0.424401,-0.363104,0.0817091,-0.44081,-0.822968,1.62559,-0.639638,-0.308954,-0.427388,-1.95296,-0.9041,0.922233,0.632493,-0.111006,0.0286185,-0.409344,-0.656883,-1.22855,-0.938282,0.154187,-0.394398,-0.505826,-0.0918089,-1.17983,0.261589,0.306808,-1.50414,0.100369,0.162332,-1.0161,-0.0614125,0.175537,-23.1856,0.224496
